epoch,train_loss,validation_loss,validation_dice,learning_rate
1,1.1162886308788789,1.0273043300424303,0.5264570116996765,9.998903417374228e-05
2,0.8605237048887557,0.7867182503853526,0.6169268488883972,9.997532801828658e-05
3,0.6994247721790804,0.6610004587897232,0.6349932551383972,9.995614150494293e-05
4,0.5888998492218641,0.6115998976996967,0.6534001231193542,9.99314767377287e-05
5,0.5115084306043409,0.5456450421895299,0.6791936755180359,9.990133642141359e-05
6,0.4480068546788702,0.5266816858202219,0.6933282017707825,9.986572386122291e-05
7,0.40784921302869626,0.5188560770558459,0.6885046362876892,9.982464296247522e-05
8,0.3757747356645792,0.4833821239215987,0.6967635154724121,9.9778098230154e-05
9,0.35458573867142895,0.4390374374176775,0.72384113073349,9.972609476841367e-05
10,0.33086944380159045,0.42045289038547445,0.7337679266929626,9.966863828001983e-05
11,0.3210669431531012,0.4478388657527311,0.7133787870407104,9.960573506572391e-05
12,0.3136445727445736,0.44034454678850515,0.726435124874115,9.95373920235722e-05
13,0.29881521352070317,0.4418534849371229,0.72186279296875,9.946361664814943e-05
14,0.2962875425351733,0.43384453813944546,0.7235140800476074,9.93844170297569e-05
15,0.2906786433279746,0.4280658824635403,0.7311649322509766,9.929980185352526e-05
16,0.28103490823205807,0.42045276971267803,0.7363630533218384,9.920978039846208e-05
17,0.28071933100543595,0.41474973543414045,0.7294493317604065,9.911436253643444e-05
18,0.2796529330574121,0.44364306836255957,0.7251714468002319,9.901355873108609e-05
19,0.27457607470829665,0.43117550760507584,0.7342942953109741,9.890738003669028e-05
20,0.267809021130842,0.4219095173424908,0.7360626459121704,9.879583809693736e-05
21,0.2670658404145259,0.4080283075038876,0.7470775842666626,9.8678945143658e-05
22,0.26589643210172653,0.4091980326920748,0.7399588227272034,9.85567139954818e-05
23,0.2617610031702639,0.4801108296960592,0.7198524475097656,9.842915805643154e-05
24,0.26197789887741846,0.39939515186207636,0.7474207282066345,9.829629131445339e-05
25,0.26213951678475517,0.4922018596636398,0.7098159790039062,9.815812833988289e-05
26,0.25659075535920806,0.410520020074078,0.7469730377197266,9.801468428384713e-05
27,0.25583603208456984,0.40838182996958494,0.7515062689781189,9.786597487660334e-05
28,0.25638489839747725,0.41015426841165337,0.7455384135246277,9.771201642581382e-05
29,0.2610187735191115,0.38802438149494783,0.751367449760437,9.755282581475767e-05
30,0.24869604965360248,0.4343916193715164,0.7361570596694946,9.738842050047928e-05
31,0.25114177918271796,0.395603765600494,0.7520645260810852,9.721881851187405e-05
32,0.2502107258146839,0.4164357298452939,0.7460197806358337,9.704403844771126e-05
33,0.24443283942364996,0.39527814582522425,0.7557948231697083,9.686409947459455e-05
34,0.24597210016695906,0.40678188470857485,0.7460395097732544,9.667902132486005e-05
35,0.24296842827117396,0.4077681577099221,0.7519593834877014,9.648882429441254e-05
36,0.250567326648342,0.39783089488212553,0.7490920424461365,9.629352924049973e-05
37,0.24249905788481005,0.39702733672623125,0.7550087571144104,9.609315757942502e-05
38,0.23942683008046467,0.4004913778709514,0.7525334358215332,9.588773128419905e-05
39,0.23886534963020556,0.38988630074475494,0.7588545680046082,9.567727288213003e-05
40,0.24550239922993378,0.39400436795715776,0.7548739314079285,9.546180545235343e-05
41,0.24202101164522802,0.39540410853390184,0.7506880164146423,9.524135262330098e-05
42,0.23405142514042354,0.38280498675469843,0.7571626901626587,9.501593857010968e-05
43,0.23364462952785456,0.3817983530461788,0.75602787733078,9.478558801197064e-05
44,0.24206774202012366,0.4092276439602886,0.7502792477607727,9.455032620941839e-05
45,0.23494772584057969,0.4128426093874233,0.7483550310134888,9.431017896156072e-05
46,0.2355076466842848,0.4172421930623906,0.744070827960968,9.406517260324959e-05
47,0.23407534544685935,0.393596333318523,0.7574763894081116,9.381533400219317e-05
48,0.23164672592966473,0.38140032693211523,0.7507967352867126,9.356069055600948e-05
49,0.23639289665140995,0.3888085343475853,0.761475682258606,9.330127018922193e-05
50,0.23047323384347593,0.3918625927929367,0.7617514729499817,9.303710135019718e-05
51,0.23017098422702184,0.37553968134203125,0.7668598294258118,9.276821300802532e-05
52,0.2273895372908403,0.38061179047716515,0.7613090872764587,9.24946346493432e-05
53,0.22724463232586356,0.3848365458792874,0.764621376991272,9.221639627510076e-05
54,0.22592454268832615,0.3921188275728907,0.7582703828811646,9.193352839727121e-05
55,0.2272658654079131,0.3749605326780251,0.7626360654830933,9.164606203550498e-05
56,0.22831516966571605,0.3730629361899836,0.7672237157821655,9.13540287137281e-05
57,0.22295338718459765,0.37440838451896397,0.7663828730583191,9.105746045668521e-05
58,0.2237832646831464,0.38817484583705664,0.7653370499610901,9.075638978642771e-05
59,0.22344196222519597,0.3832438117159264,0.7625490427017212,9.045084971874738e-05
60,0.22657906978684642,0.3801380011386105,0.7654255628585815,9.014087375955573e-05
61,0.2201073448742642,0.38052838921014753,0.7659291625022888,8.982649590120982e-05
62,0.22078023877009342,0.374127641985459,0.7654314041137695,8.95077506187845e-05
63,0.22008510358660602,0.37615358949239763,0.7658743262290955,8.918467286629199e-05
64,0.2211377586633083,0.38082620834133457,0.7629322409629822,8.885729807284854e-05
65,0.21992144423468105,0.38195411475109203,0.7620399594306946,8.852566213878946e-05
66,0.21554444747676182,0.3961382111800568,0.7624912261962891,8.818980143173211e-05
67,0.22737973041339607,0.42517399614942925,0.7536238431930542,8.784975278258782e-05
68,0.22029820767300137,0.3802193906158209,0.7678911089897156,8.750555348152298e-05
69,0.21796687940273304,0.3813017009358321,0.7560243606567383,8.715724127386972e-05
70,0.21618604233872565,0.3803539898778711,0.765330970287323,8.680485435598672e-05
71,0.21164635673223303,0.3909874014290316,0.7647355198860168,8.644843137107059e-05
72,0.21417633551335985,0.3991083482812558,0.7538734078407288,8.608801140491811e-05
73,0.21251928839644105,0.3860988204500505,0.7658547163009644,8.572363398164017e-05
74,0.21379962202581915,0.3879273905019675,0.7588375210762024,8.535533905932738e-05
75,0.2137166988611917,0.37622520899666206,0.7670918703079224,8.498316702566829e-05
76,0.21462650227465518,0.40912794707609074,0.7566550374031067,8.460715869352035e-05
77,0.21247458688421936,0.39056217124951736,0.7585760951042175,8.422735529643445e-05
78,0.2074314804189632,0.3857377251344068,0.7644771933555603,8.384379848413305e-05
79,0.20949958541687824,0.37083347514271736,0.7741305232048035,8.345653031794293e-05
80,0.21021009517782857,0.4212935189051287,0.7485843896865845,8.306559326618262e-05
81,0.21889855550304924,0.3912626653909683,0.7656726837158203,8.267103019950531e-05
82,0.2077348952105537,0.3813426848500967,0.765171468257904,8.227288438619756e-05
83,0.2061113040995737,0.3855622654248561,0.7651346921920776,8.187119948743452e-05
84,0.2045568846861908,0.3966814445863877,0.7648590803146362,8.14660195524919e-05
85,0.20499562677938188,0.3733037682250142,0.7734917402267456,8.105738901391556e-05
86,0.20501672605538182,0.4066938176485045,0.7587663531303406,8.064535268264886e-05
87,0.2023269589772948,0.4286903849403773,0.7531434893608093,8.022995574311878e-05
88,0.20065791046804954,0.3920448695176414,0.767731249332428,7.981124374828082e-05
89,0.20764203794329547,0.38470569372709307,0.76612389087677,7.938926261462369e-05
90,0.20406622715033446,0.40332040150782894,0.7530677914619446,7.896405861713397e-05
91,0.2015138365879133,0.38572607282549143,0.7673521041870117,7.853567838422163e-05
92,0.19969268130131268,0.40072192517774446,0.7598403096199036,7.810416889260657e-05
93,0.19771906345039025,0.4196198461577296,0.7590217590332031,7.766957746216724e-05
94,0.20347443405640264,0.3871805983196412,0.7658606767654419,7.723195175075139e-05
95,0.1997436849175724,0.4023383881098458,0.7612034678459167,7.679133974894987e-05
96,0.2008696098880777,0.39657867327332497,0.7645224332809448,7.634778977483393e-05
97,0.19469621107851948,0.3973729493362563,0.7674344778060913,7.590135046865655e-05
98,0.19937609512982202,0.38940432481467724,0.7733903527259827,7.545207078751861e-05
99,0.19398235889144444,0.3855904649410929,0.7647353410720825,7.500000000000003e-05
